Ano base,UF,Classe Substância,Substância Mineral,Quantidade Produção - Minério ROM (t),Quantidade Contido,Unidade de Medida - Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010,MS,Metálicos,Ferro,9983835.0,6325305.76,t,Fe,0.0,0.0,0.0,0.0,0.0,0.0
2010,MS,Não-Metálicos,Saibro,187066.55,0.0,-,,186915.79,591343.19,0.0,0.0,0.0,0.0
2010,MS,Não-Metálicos,Calcário,2530487.46,0.0,-,,25385.97,512030.49,0.0,0.0,0.0,0.0
2010,MS,Não-Metálicos,Argilas,476220.13,0.0,-,,93138.96,669122.8,0.0,0.0,59932.25,694840.5
2010,MT,Metálicos,Ouro,9163769.36,5035.5,kg,Au,0.0,0.0,0.0,0.0,0.0,1311539.95
2010,MT,Metálicos,Estanho,208549.0,160000.0,kg,Sn,0.0,0.0,0.0,0.0,0.0,0.0
2010,MT,Não-Metálicos,Quartzo (Cristal) e outros Piezelétricos,27.7,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MT,Não-Metálicos,Argilas,657582.9,0.0,-,,27455.85,2291343.08,54929.0,1968391.6,359882.33,3386246.84
2010,MT,Não-Metálicos,Areia,694554.39,0.0,-,,659284.55,8338182.8,0.0,0.0,0.0,0.0
2010,MT,Não-Metálicos,Dolomito e Magnesita,774910.86,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MT,Não-Metálicos,Rochas (Britadas) e Cascalho,3120580.89,0.0,-,,244840.78,4158417.88,26159.4,1706.48,140268.0,238747.2
2010,MT,Não-Metálicos,Calcário,5326083.86,0.0,-,,73671.0,1416964.95,0.0,0.0,0.0,0.0
2010,MT,Gemas e Diamantes,Diamante,73500.0,10800.0,ct,,57.83,11000.0,0.0,0.0,0.0,0.0
2010,MT,Metálicos,Zinco,0.0,755.25,t,Zn,0.0,0.0,0.0,0.0,0.0,0.0
2010,MT,Não-Metálicos,Saibro,21070.0,0.0,-,,0.0,0.0,21070.0,127024.0,0.0,0.0
2010,PA,Não-Metálicos,Rochas (Britadas) e Cascalho,200624.9,0.0,-,,20356.0,240906.65,0.0,0.0,46587.0,14157.0
2010,PA,Metálicos,Níquel,1259172.0,24704.95,t, Ni,0.0,0.0,0.0,0.0,0.0,0.0
2010,PA,Metálicos,Ferro,111349147.7,74069139.99,t,Fe,0.0,0.0,0.0,0.0,0.0,0.0
2010,PA,Não-Metálicos,Caulim,5393439.99,0.0,-,,174585.71,10013388.0,0.0,0.0,0.0,0.0
2010,PA,Gemas e Diamantes,Gemas,226.19,180952.0,kg,,0.0,0.0,0.0,0.0,0.0,0.0
2010,PA,Não-Metálicos,Areia,357534.0,0.0,-,,341327.0,1740718.65,6124.0,0.12,10083.0,48801.72
2010,PA,Não-Metálicos,Areias Industriais,36605.24,0.0,-,,8226.24,69860.04,0.0,0.0,0.0,0.0
2010,PA,Metálicos,Manganês,3198243.0,1117561.98,t,Mn,0.0,0.0,0.0,0.0,0.0,0.0
2010,PA,Metálicos,Ouro,17865436.0,8469.79,kg,Au,0.0,0.0,0.0,0.0,0.0,0.0
2010,PA,Metálicos,Cobre,17680636.0,149167.0,t,Cu,0.0,0.0,0.0,0.0,0.0,0.0
2010,PA,Não-Metálicos,Saibro,387270.0,0.0,-,,389520.0,803239.18,0.0,0.0,0.0,0.0
2010,PA,Metálicos,Alumínio (Bauxita),39015837.15,18964226.22,t,Al2O3,0.0,0.0,0.0,0.0,0.0,0.0
2010,PA,Metálicos,Tungstênio,423587.37,173.0,t,WO3,0.0,0.0,0.0,0.0,0.0,0.0
2010,PA,Não-Metálicos,Argilas,685745.47,0.0,-,,297827.01,1969033.85,0.0,0.0,376738.46,2519889.67
2010,PA,Não-Metálicos,Calcário,1660579.42,0.0,-,,1577917.03,25175395.34,0.0,0.0,0.0,0.0
2010,PB,Não-Metálicos,Caulim,1581.0,0.0,-,,1581.0,39525.0,0.0,0.0,0.0,0.0
2010,PB,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",15114.49,0.0,-,,13169.49,597371.42,0.0,0.0,0.0,0.0
2010,PB,Não-Metálicos,Areia,666936.89,0.0,-,,653924.89,3445276.61,0.0,0.0,4460.0,7403.6
2010,PB,Não-Metálicos,Mica,3743.62,0.0,-,,3579.3,950992.5,0.0,0.0,164.32,73662.0
2010,PB,Não-Metálicos,Argilas,1028355.54,0.0,-,,461362.36,4486269.53,0.0,0.0,39849.18,64556.7
2010,PB,Não-Metálicos,Saibro,16357.0,0.0,-,,16357.0,68639.0,0.0,0.0,0.0,0.0
2010,PB,Não-Metálicos,Rochas Ornamentais,22650.68,0.0,-,,18288.25,4260716.1,4971.31,0.12,0.0,0.0
2010,PB,Não-Metálicos,Rochas (Britadas) e Cascalho,865557.88,0.0,-,,91454.58,1395790.75,0.0,0.0,68518.1,1211888.95
2010,PB,Metálicos,Titânio,300000.0,45702.83,t,TiO2,0.0,0.0,0.0,0.0,0.0,0.0
2010,PB,Não-Metálicos,Dolomito e Magnesita,4154.35,0.0,-,,0.0,0.0,0.0,0.0,4154.35,125628.0
