Ano base,UF,Classe Substância,Substância Mineral,Quantidade Produção,Unidade de Medida - Produção,Quantidade Contido,Unidade de Medida - Contido,Indicação Contido,Quantidade Venda,Unidade de Medida - Venda,Valor Venda (R$),Quantidade Consumo/Utilização na Usina,Unidade de Medida - Consumo/Utilização na Usina,Valor Consumo / Utilização na Usina (R$),Quantidade Transferência para Transformação / Utilização / Consumo,Unidade de Medida - Transferência para Transformação / Utilização / Consumo,Valor Transferência para Transformação / Utilização / Consumo (R$)
2010,PE,Metálicos,Titânio,0.0,t,0.0,t,TiO2,0.0,t,0.0,0,t,0.0,0.0,t,0.0
2010,PE,Não-Metálicos,Areias Industriais,165180.38,t,0.0,-,,18009.0,t,103362.65,0,t,0.0,145112.38,t,1720588.7
2010,PE,Não-Metálicos,Argilas,507824.05,t,0.0,-,,1962.0,t,174344.88,"99445,229999999996",t,1259217.0,406416.82,t,1968705.42
2010,PE,Não-Metálicos,Calcário,768729.94,t,0.0,-,,87144.18,t,14235529.82,"675663,88",t,13380958.21,0.0,t,0.0
2010,PE,Não-Metálicos,Dolomito e Magnesita,418.8,t,0.0,-,,418.8,t,44341.97,0,t,0.0,0.0,t,0.0
2010,PE,Não-Metálicos,Gipsita,886049.34,t,0.0,-,,598971.34,t,17514218.85,0,t,0.0,266289.08,t,16496448.96
2010,PE,Não-Metálicos,Rochas (Britadas) e Cascalho,5248316.18,t,0.0,-,,5240417.81,t,109811767.34,0,t,0.0,0.0,t,0.0
2010,PE,Não-Metálicos,Rochas Ornamentais,0.0,t,0.0,-,,358.11,t,213271.87,0,t,0.0,54.95,t,15480.38
2010,PE,Não-Metálicos,Vermiculita e Perlita,4704.0,t,3669.33,t,,1735.0,t,1480420.58,0,t,0.0,0.0,t,0.0
2010,PI,Gemas e Diamantes,Diamante,710.8,ct,710.8,ct,,281.14,ct,63174.0,0,ct,0.0,0.0,ct,0.0
2010,PI,Gemas e Diamantes,Gemas,7.8,kg,7.8,kg,,7.8,kg,155200.0,0,kg,0.0,0.0,kg,0.0
2010,PI,Não-Metálicos,Argilas,82022.01,t,0.0,-,,0.0,t,0.0,"64772,010000000002",t,360441.56,17250.0,t,85750.0
2010,PI,Não-Metálicos,Calcário,1094242.08,t,0.0,-,,253840.47,t,12030271.19,5087,t,104408.6,836290.0,t,1823112.2
2010,PI,Não-Metálicos,Rochas (Britadas) e Cascalho,583259.13,t,0.0,-,,494191.17,t,16216126.32,8523,t,113640.0,75995.01,t,1665207.95
2010,PI,Não-Metálicos,Rochas Ornamentais,4954.58,t,0.0,-,,3107.83,t,2255747.38,"552,63999999999999",t,69637.54,0.0,t,0.0
2010,PR,Energéticos,Carvão Mineral,97545.07,t,0.0,-,,97532.97,t,23611597.92,0,t,0.0,0.0,t,0.0
2010,PR,Gemas e Diamantes,Diamante,314.88,ct,314.88,ct,,0.0,ct,0.0,0,ct,0.0,0.0,ct,0.0
2010,PR,Metálicos,Ouro,439.72,kg,439.68,kg,Au,484.5,kg,33305887.0,0,kg,0.0,0.0,kg,0.0
2010,PR,Metálicos,Prata,65.33,kg,65.33,kg,Ag,0.0,kg,0.0,0,kg,0.0,0.0,kg,0.0
2010,PR,Não-Metálicos,Areia,1904862.97,t,0.0,-,,1904858.97,t,21823857.9,0,t,0.0,0.0,t,0.0
2010,PR,Não-Metálicos,Areias Industriais,7199.43,t,0.0,-,,5793.43,t,320206.61,0,t,0.0,1406.0,t,28130.0
2010,PR,Não-Metálicos,Argilas,104540.61,t,0.0,-,,105556.79,t,1106828.39,0,t,0.0,3645.0,t,485418.45
2010,PR,Não-Metálicos,Calcário,11927744.04,t,0.0,-,,3685747.4,t,75615310.38,0,t,0.0,8319890.47,t,60477336.12
2010,PR,Não-Metálicos,Caulim,2200.0,t,0.0,-,,2110.0,t,63300.0,0,t,0.0,90.0,t,1800.0
2010,PR,Não-Metálicos,Dolomito e Magnesita,435993.81,t,0.0,-,,415031.47,t,4093064.36,0,t,0.0,21495.0,t,31800.12
2010,PR,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",88820.0,t,0.0,-,,0.0,t,0.0,0,t,0.0,108238.05,t,2626006.01
2010,PR,Não-Metálicos,Fluorita e Criolita,11196.43,t,9803.3,t,,11583.68,t,8837470.53,0,t,0.0,0.0,t,0.0
2010,PR,Não-Metálicos,Rochas (Britadas) e Cascalho,9861787.3,t,0.0,-,,9294230.22,t,165736219.48,"303061,71999999997",t,3477633.22,197651.2,t,2547866.6
2010,PR,Não-Metálicos,Rochas Ornamentais,3727.83,t,0.0,-,,2410.65,t,422134.84,0,t,0.0,1317.18,t,0.0
2010,PR,Não-Metálicos,Talco e outras Cargas Minerais,35559.2,t,0.0,-,,33008.18,t,4564709.02,0,t,0.0,3584.0,t,176974.0
2010,RJ,Metálicos,Monazita e Terras-Raras,248.0,t,248.0,t,ETR,0.0,t,0.0,0,t,0.0,0.0,t,0.0
2010,RJ,Metálicos,Titânio,6129.0,t,3556.14,t,TiO2,9811.0,t,3350988.67,0,t,0.0,0.0,t,0.0
2010,RJ,Metálicos,Zircônio,1343.0,t,859.52,t,ZrSiO4,1519.0,t,2961618.34,0,t,0.0,0.0,t,0.0
2010,RJ,Não-Metálicos,Areia,170808.79,t,0.0,-,,170808.79,t,1532714.36,0,t,0.0,0.0,t,0.0
2010,RJ,Não-Metálicos,Areias Industriais,201251.22,t,0.0,-,,202114.49,t,10498453.07,0,t,0.0,0.0,t,0.0
2010,RJ,Não-Metálicos,Argilas,139956.5,t,0.0,-,,0.0,t,0.0,0,t,0.0,139956.5,t,811865.94
2010,RJ,Não-Metálicos,Calcário,4003198.02,t,0.0,-,,14739.31,t,2437889.1,0,t,0.0,3991137.64,t,34679622.64
2010,RJ,Não-Metálicos,Fluorita e Criolita,13250.0,t,10209.0,t,,13005.6,t,7872944.38,0,t,0.0,0.0,t,0.0
2010,RJ,Não-Metálicos,Rochas (Britadas) e Cascalho,18310880.84,t,0.0,-,,17220199.58,t,381399010.7,"84020,400000000009",t,1389335.86,764706.24,t,4189080.32
2010,RJ,Não-Metálicos,Rochas Ornamentais,9224.29,t,0.0,-,,10750.77,t,12395449.93,0,t,0.0,0.0,t,0.0
2010,RN,Metálicos,Columbita-Tantalita,1.37,t,1.37,t,Ta2O5,1.37,t,52598.0,0,t,0.0,0.0,t,0.0
